GM_COUNTY_NAME,GM_DATASET_NAME,GM_WELL_CATEGORY,GM_DATA_SOURCE,GM_WELL_ID,GM_CHEMICAL_VVL,GM_CHEMICAL_NAME,GM_RESULT_MODIFIER,GM_RESULT,GM_CHEMICAL_UNITS,GM_REPORTING_LIMIT,GM_SAMP_COLLECTION_DATE,GM_LATITUDE,GM_LONGITUDE,GM_WELL_DEPTH_FT,GM_TOP_DEPTH_OF_SCREEN_FT,GM_BOTTOM_DEPTH_OF_SCREEN_FT,GM_CAS_NUMBER,GM_ALTWELL_ID1,GM_ALTWELL_ID2,GM_ALTWELL_ID3,SRC_CHEMICAL,SRC_RESULT_MODIFIER,SRC_RESULT,SRC_CHEMICAL_UNITS,SRC_REPORTING_LIMIT,SRC_SAMP_COLLECTION_DATE,SRC_SAMP_COLLECTION_TIME,SRC_ANALYSIS_DATE,SRC_ANALYTICAL_METHOD,SRC_LAB_NOTE,SRC_LATITUDE,SRC_LONGITUDE,SRC_DATUM,SRC_WELL_DEPTH_FT,SRC_TOP_DEPTH_OF_SCREEN_FT,SRC_BOTTOM_DEPTH_OF_SCREEN_FT,SRC_WELL_CATEGORY,source_file
SACRAMENTO,DDW,Municipal,DDW,CA3410015_020_020,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,04/02/2013,38.574323,-121.293588,NA,363,533,NA,3410015-020,NA,NA,2314,Y,NA,UG/L     ,0,04/02/2013,10:00:00,04/10/2013,NA,EUROFINS CALSCIENCE IRVINE,38.574323,-121.293588,NA,NA,NA,NA,NA,gama_ddw_statewide_v2.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910009_007_007,NNSM,N-Nitrosodimethylamine (NDMA),=,0.008,UG/L,0,07/25/2012,34.105899,-117.945222,NA,275,577,NA,1910009-007,NA,NA,2314,N,0.008,UG/L     ,0,07/25/2012,09:29:00,07/27/2012,NA,WECK LABORATORIES,34.105899,-117.945222,NA,NA,NA,NA,NA,gama_ddw_statewide_v2.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910009_033_033,NNSM,N-Nitrosodimethylamine (NDMA),=,0.004,UG/L,0,01/25/2012,34.106114,-117.940087,NA,250,552,NA,1910009-033,NA,NA,2314,N,0.004,UG/L     ,0,01/25/2012,10:46:00,01/30/2012,NA,WECK LABORATORIES,34.106114,-117.940087,NA,NA,NA,NA,NA,gama_ddw_statewide_v2.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910067_064_064,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,07/17/2012,34.192972,-118.381914,NA,180,280,NA,1910067-064,NA,NA,2314,Y,NA,UG/L     ,0,07/17/2012,08:35:00,08/02/2012,NA,WECK LABORATORIES,34.192972,-118.381914,NA,NA,NA,NA,NA,gama_ddw_statewide_v2.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910009_033_033,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,07/25/2012,34.106114,-117.940087,NA,250,552,NA,1910009-033,NA,NA,2314,Y,NA,UG/L     ,0,07/25/2012,09:00:00,07/27/2012,NA,WECK LABORATORIES,34.106114,-117.940087,NA,NA,NA,NA,NA,gama_ddw_statewide_v2.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910009_033_033,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,04/24/2013,34.106114,-117.940087,NA,250,552,NA,1910009-033,NA,NA,2314,Y,NA,UG/L     ,0,04/24/2013,08:52:00,04/25/2013,NA,WECK LABORATORIES,34.106114,-117.940087,NA,NA,NA,NA,NA,gama_ddw_statewide_v2.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910199_008_008,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,05/07/2012,34.059278,-118.010264,NA,200,322,NA,1910199-008,NA,NA,2314,Y,NA,UG/L     ,0,05/07/2012,08:50:00,05/10/2012,NA,EUROFINS EATON ANALYTICAL POMONA,34.059278,-118.010264,NA,NA,NA,NA,NA,gama_ddw_statewide_v2.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910199_014_014,NNSM,N-Nitrosodimethylamine (NDMA),=,0.002,UG/L,0,01/04/2011,34.060374,-118.007022,NA,410,532,NA,1910199-014,NA,NA,2314,N,0.002,UG/L     ,0,01/04/2011,09:10:00,01/07/2011,NA,WECK LABORATORIES,34.060374,-118.007022,NA,NA,NA,NA,NA,gama_ddw_statewide_v2.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910199_014_014,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,03/07/2011,34.060374,-118.007022,NA,410,532,NA,1910199-014,NA,NA,2314,Y,NA,UG/L     ,0,03/07/2011,10:00:00,03/11/2011,NA,EUROFINS EATON ANALYTICAL POMONA,34.060374,-118.007022,NA,NA,NA,NA,NA,gama_ddw_statewide_v2.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910067_186_186,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,01/09/2014,34.23042,-118.413052,NA,400,780,NA,1910067-186,NA,NA,2314,Y,NA,UG/L     ,0,01/09/2014,08:40:00,01/25/2014,NA,EUROFINS EATON ANALYTICAL POMONA,34.23042,-118.413052,NA,NA,NA,NA,NA,gama_ddw_statewide_v2.txt
